Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5)
2023/24,12/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.6676914919464009,0.6643172469561263,0.7915810635263552,0.7554019959261479,0.17136489141560654,0.69881557537002,0.7236349960631647,0.7226540937074409
2023/24,11/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0010286223134898488,0.000984879590319398,0.0001817963598367716,0.005599753007736193,0.00017238722965835345,0.001333453420997328,0.0060637919296537245,0.0025355489415976365
2023/24,11/30/2023 12:00:00 AM,MPTN On-Reservation,0.0022170275330037066,0.0021796993336831447,0.00022150915688849354,0.0066339807572673905,0.0004354081630942166,0.00324476868113723,0.006880901431323931,0.003355651585917318
2023/24,11/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.9642570527139722,0.967315430400907,0.3202281103062651,0.8927308270257966,0.1195258904070543,0.8263875829355429,0.8550922313059723,0.8545778796791567
2023/24,11/30/2023 12:00:00 AM,"Mohegan Digital, LLC",0.596617986371808,0.5966275089040499,0.4081266502873442,0.5996682699368554,0.07972428103316336,0.5541459665555856,0.5745597024950992,0.5730496446992952
2023/24,10/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0011586349948425796,0.0011797696830742957,8.825066011493766e-07,0.0038365087126939895,0.0001807706143859751,0.0006460716322915728,0.00420307605979657,0.0006681596365834933
2023/24,10/31/2023 12:00:00 AM,MPTN On-Reservation,0.0017332872187666537,0.0017745376062120266,1.7650132022987533e-06,0.0038377497239428645,0.0005828315360080968,0.00064727250893152,0.004204255276031809,0.0006693771286326614
2023/24,10/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.8781576306870695,0.8793194684974273,0.32833393343782213,0.859370544357562,0.13237864383040945,0.7953972800144105,0.8231583131862056,0.8225305669641324
2023/24,10/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.585265655422162,0.5868245591611708,0.02358410640911594,0.5593734103179149,0.06121904598199584,0.4735428863070041,0.5438381496891849,0.5422188500397997
2023/24,09/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.000866832440363113,0.0008417970453966223,2.64751980344813e-06,0.004891678527049953,0.00018853300765229146,0.0014583445915518328,0.00524366887538235,0.001712524316359952
2023/24,09/30/2023 12:00:00 AM,MPTN On-Reservation,0.004721624234061674,0.004863930940328757,1.7650132022987533e-06,0.00394862632270954,0.0005741376555498224,0.0010003302410759854,0.0042649194001335745,0.0007302517310910701
2023/24,09/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.8595322640299371,0.8608401563563917,0.30330516372262467,0.8369941032187062,0.1292787786538656,1.0,0.7607526614036936,0.759903506450151
2023/24,09/30/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5691111306525658,0.56786584792525,0.023138440575535504,0.6250978702191544,0.09498194808871559,0.7347064156834489,0.5703637890820649,0.5688388266980422
2023/24,08/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0009237726360786151,0.0008977250028551994,0.0,0.0049801393601338236,0.0001957675581764983,0.0015143054429733705,0.005333114610559034,0.001802375229588563
2023/24,08/31/2023 12:00:00 AM,MPTN On-Reservation,0.0012697314052067374,0.001310994164524013,0.0,0.0033599216115244644,0.00019995925054030914,0.000271157945300069,0.0037344904676527005,0.00019796420719474489
2023/24,08/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7478515187506012,0.7507973022341683,0.3532188545770322,0.6716524681406234,0.12748582105721187,0.828021495691855,0.6058233016971455,0.6044241713079492
2023/24,08/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5065671816773912,0.505732150772777,0.16619629064825406,0.5423328909516046,0.10265532222905381,0.6678456873517667,0.4893146412710658,0.48750183536926406
2023/24,07/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0008637282121616292,0.0008502676567248547,0.0,0.0045486552615405995,0.00023107092275170506,0.0017436728812032782,0.004805480857302431,0.0012727661882004078
2023/24,07/31/2023 12:00:00 AM,MPTN On-Reservation,0.002647975553655559,0.002652540109912904,6.177546208045636e-06,0.005857146497073171,0.0003299017138184448,0.002551862859887718,0.006132099121946856,0.002603971994760888
2023/24,07/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.9355631161438447,0.9476229825033315,0.27499788198415726,0.6008240392255733,0.11194920463724131,0.7402928938124831,0.5420114127167727,0.5403857940105722
2023/24,07/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5156862953892867,0.5170135919727837,0.01742774035949789,0.4947665198278888,0.1051822296338243,0.6089297186946471,0.44646039466882453,0.44449538972285735
2024/25,11/30/2024 12:00:00 AM,Mohegan Tribe On-Reservation,0.0032834964232056852,0.0032030215534309056,0.0002797545925643524,0.008997060083133016,0.0008150202433901513,0.005439971178960641,0.009142943893240925,0.005625543762386459
2024/25,11/30/2024 12:00:00 AM,MPTN On-Reservation,0.0036515433134287874,0.00369348764596665,0.00022503918329309103,0.005783694143780382,0.00056156257845839,0.0024550722027079767,0.006067023855631787,0.002538714420925474
